cust_id ,trans_id ,trans_date,invoice_nbr,loc_nbr ,sales ,product_category ,payment_method,payment_status
1,1001234,5/6/2022,100045660,30,1981,Beauty,Gift Card,failed
1,1001234,5/6/2022,100045640,30,1981,Beauty,Paytm,failed
1,1001234,5/6/2022,100045560,30,1981,Beauty,Credit Card,failed
1,1001234,5/6/2022,100045660,30,1981,Beauty,UPI ,completed
2,1001235,5/7/2022,100045661,4,2973,Gym wear,Gift Card,failed
2,1001235,5/7/2022,100045661,4,2973,Gym wear,Paytm,failed
2,1001235,5/7/2022,100045661,4,2973,Gym wear,Credit Card,failed
2,1001235,5/7/2022,100045661,4,2973,Gym wear,UPI ,completed
3,1001236,5/8/2022,100045662,25,1968,Kid's Clothing,Credit Card,completed
4,1001237,5/9/2022,100045663,40,3139,Footwear,Debit Card,completed
5,1001238,5/10/2022,100045664,37,1521,Kid's Clothing,UPI,completed
6,1001239,5/11/2022,100045665,49,3723,Gym wear,Debit Card,completed
7,1001240,5/12/2022,100045666,34,1421,Beauty,UPI,completed
8,1001241,5/13/2022,100045667,40,4164,Winter wear,Debit Card,completed
9,1001242,5/14/2022,100045668,43,2728,Women's Clothing,Credit Card,completed
10,1001243,5/15/2022,100045669,13,3230,Bags,UPI,completed
11,1001244,5/16/2022,100045670,12,4906,Accessories,Credit Card,failed
11,1001244,5/16/2022,100045670,12,4906,Accessories,Credit Card,failed
11,1001244,5/16/2022,100045670,12,4906,Accessories,Debit Card,failed
11,1001244,5/16/2022,100045670,12,4906,Accessories,UPI,failed
11,1001244,5/16/2022,100045670,12,4906,Accessories,Credit Card,completed
12,1001245,5/17/2022,100045671,27,4831,Footwear,UPI,completed
13,1001246,5/18/2022,100045672,7,1153,Kid's Clothing,Debit Card,completed
14,1001247,5/19/2022,100045673,46,3153,Beauty,UPI,completed
15,1001248,5/20/2022,100045674,17,3138,Winter wear,Debit Card,failed
16,1001248,5/20/2022,100045674,17,3138,Winter wear,Debit Card,failed
17,1001248,5/20/2022,100045674,17,3138,Winter wear,Debit Card,failed
18,1001248,5/20/2022,100045674,17,3138,Winter wear,Debit Card,failed
19,1001248,5/20/2022,100045674,17,3138,Winter wear,Debit Card,failed
20,1001253,5/25/2022,100045679,38,3959,Kid's Clothing,Debit Card,completed
21,1001254,5/26/2022,100045680,42,2239,Men's Clothing,UPI,completed
